Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,rhizome,IMPHY003768,"4,10-Epizedoarondiol",ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY003769,"(1S,3abeta,8abeta)-Octahydro-1beta,4beta-dihydroxy-7-isopropylidene-1,4-dimethylazulen-6(5H)-one",ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY003977,(-)-beta-Bourbonene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY003982,gamma-Terpinene,"DOI:10.1002/ffj.2730040106,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY004129,Demethoxycurcumin,ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY004315,Procurcumenol,ISBN:9788172362133
Curcuma aromatica,rhizome,IMPHY004521,alpha-Patchoulene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY005042,Bisacumol,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY005618,Germacrene B,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY005653,2-Octanol,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9770972795006"
Curcuma aromatica,rhizome,IMPHY006145,p-Cymene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY006214,"Germacr-1(10)-ene-5,8-dione","DOI:10.1002/ffj.2730070105, ISBN:9780387706375, ISBN:9788172362133"
Curcuma aromatica,rhizome,IMPHY006463,Germacrone,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9788172362133, ISBN:9788185042114"
Curcuma aromatica,rhizome,IMPHY006758,"(1S,2S,5S,8S)-2-methyl-6-methylidene-9-propan-2-ylidene-11-oxatricyclo[6.2.1.01,5]undecan-8-ol",DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY006950,Tricyclene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY006992,1-Methylhexyl acetate,"DOI:10.1080/10412905.1996.9701031, ISBN:9770972795006"
Curcuma aromatica,rhizome,IMPHY007327,Palmitic acid,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY007378,"(2S,3R,4R,5S,6S)-2-(hydroxymethyl)-6-(((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(((4aR,8aS)-4-isopropyl-1,7-dimethyl-1,2,3,4,4a,5,8,8a-octahydronaphthalen-1-yl)oxy)tetrahydro-2H-pyran-2-yl)methoxy)tetrahydro-2H-pyran-3,4,5-triol",ISBN:9788172362133
